MessageType,MessageID,AccountID,Currency,OpeningBalance,ClosingBalance,Transactions,Timestamp,BIC,IsSuspicious
BAH,BAH001,ACC1001,USD,10000,8000,5,2025-01-01T08:30:00,DEUTDEFF,0
BAH,BAH002,ACC1002,EUR,20000,19000,3,2025-01-02T09:15:00,BOFAUS3N,1
PACS,PACS001,ACC2001,GBP,15000,13000,4,2025-01-03T10:45:00,HSBCGB2L,0
PACS,PACS002,ACC2002,USD,25000,23000,6,2025-01-04T11:00:00,BNPAFRPP,1
PAIN,PAIN001,ACC3001,USD,5000,4500,2,2025-01-05T12:30:00,CITIUS33,0
PAIN,PAIN002,ACC3002,EUR,7500,7000,3,2025-01-06T13:15:00,DEUTDEFF,1
FXTR,FXTR001,ACC4001,USD,10000,12000,7,2025-01-07T14:00:00,BOFAUS3N,0
FXTR,FXTR002,ACC4002,EUR,20000,22000,5,2025-01-08T15:30:00,HSBCGB2L,1
CAMT,CAMT001,ACC5001,GBP,30000,28000,8,2025-01-09T16:45:00,BNPAFRPP,0
CAMT,CAMT002,ACC5002,USD,40000,38000,4,2025-01-10T17:20:00,CITIUS33,1
AUTH,AUTH001,ACC6001,USD,8000,8200,1,2025-01-11T18:00:00,DEUTDEFF,0
AUTH,AUTH002,ACC6002,EUR,9000,9500,2,2025-01-12T18:30:00,BOFAUS3N,1
BAH,BAH003,ACC1003,GBP,12000,11000,3,2025-01-13T08:45:00,HSBCGB2L,0
BAH,BAH004,ACC1004,USD,18000,16000,4,2025-01-14T09:00:00,DEUTDEFF,1
PACS,PACS003,ACC2003,EUR,22000,21000,5,2025-01-15T10:30:00,BOFAUS3N,0
PACS,PACS004,ACC2004,GBP,17000,15000,3,2025-01-16T11:15:00,HSBCGB2L,1
PAIN,PAIN003,ACC3003,USD,6000,5500,2,2025-01-17T12:00:00,BNPAFRPP,0
PAIN,PAIN004,ACC3004,EUR,8000,7500,3,2025-01-18T12:45:00,CITIUS33,1
FXTR,FXTR003,ACC4003,GBP,13000,14000,4,2025-01-19T13:30:00,DEUTDEFF,0
FXTR,FXTR004,ACC4004,USD,24000,26000,6,2025-01-20T14:15:00,BOFAUS3N,1
CAMT,CAMT003,ACC5003,EUR,35000,33000,7,2025-01-21T15:00:00,HSBCGB2L,0
CAMT,CAMT004,ACC5004,GBP,45000,43000,5,2025-01-22T15:45:00,BNPAFRPP,1
